t,capacitor voltage,inductor current
0.0,0.0,0.05
0.02,0.001,0.049
0.04,0.00198,0.05050666467128609
0.06,0.002990133293425722,0.05443072912115746
0.08,0.0040787478758488715,0.060644802926559355
0.1,0.005291643934380058,0.0689854053925455
0.12,0.006671352042230968,0.07925556945185645
0.14,0.008256463431268096,0.09122797314054848
0.16,0.010081022894079066,0.10464854926462794
0.18,0.012173993879371625,0.1192405163314941
0.2,0.014558804206001507,0.1347087671765972
0.22,0.01725297954953345,0.15074454607484827
0.24,0.020267870471030416,0.16703034057693442
0.26,0.023608477282569106,0.18324491092454054
0.28,0.027273375501059918,0.19906837772896377
0.3,0.031254743055639196,0.21418728767893708
0.32,0.035538488809217936,0.2282995773901486
0.34,0.04010448035702091,0.24111935711548166
0.36,0.044926867499330544,0.2523814388760719
0.38,0.04997449627685198,0.26184553760407964
0.4,0.055211407028933575,0.2693000790450348
0.42,0.06059740860983427,0.2745655543694049
0.44,0.06608871969722237,0.2774973685918544
0.46,0.07163866706905946,0.27798813787976645
0.48,0.07719842982665479,0.27596939952408706
0.5,0.08271781781713652,0.2714127076083583
0.52,0.08814607196930369,0.2643300970998484
0.54,0.09343267391130065,0.2547739090471793
0.56,0.09852815209224423,0.24283597964471257
0.58,0.10338487168513849,0.22864620595627988
0.6,0.1079577958042641,0.2123705109214172
0.62,0.11220520602269243,0.1942082397410541
0.64,0.11608937081751351,0.1743890287072054
0.66,0.11957715139165762,0.15316919586119523
0.68,0.12264053530888153,0.13082771040609786
0.7000000000000001,0.12525708951700348,0.10766180444247787
0.72,0.12741032560585305,0.08398229623738518
0.74,0.12908997153060076,0.06010869878594664
0.76,0.13029214550631968,0.03636419081105026
0.78,0.13101942932254068,0.013070529516137429
0.8,0.13128083991286343,-0.009457014675209905
0.8200000000000001,0.13109169961935924,-0.03091462150586605
0.84,0.1304734071892419,-0.0510147041174563
0.86,0.12945311310689278,-0.06949043668893233
0.88,0.12806330437311414,-0.08609995507280734
0.9,0.126341305271658,-0.10063016417738725
0.92,0.12432870198811025,-0.11290009204512214
0.9400000000000001,0.1220707001472078,-0.1227637377260162
0.96,0.11961542539268748,-0.13011236802813358
0.98,0.11701317803212481,-0.13487622691872178
1.0,0.11431565349375038,-0.13702563061227593
1.02,0.11157514088150486,-0.13657143106990544
1.04,0.10884371226010675,-0.13356484059485135
1.06,0.10617241544820973,-0.12809662028485935
1.08,0.10361048304251254,-0.12029564513443279
1.1,0.10120457013982388,-0.11032686841056007
1.12,0.09899803277161268,-0.09838871739929587
1.1400000000000001,0.09703025842362675,-0.08470996158816843
1.16,0.09533605919186339,-0.06954610266936181
1.18,0.09394513713847615,-0.053175343289771554
1.2,0.09288163027268072,-0.03589419811742526
1.22,0.09216374631033221,-0.018012816434627297
1.24,0.09180348998163966,0.00014990998243237866
1.26,0.09180648818128831,0.01827137655171637
1.28,0.09217191571232264,0.03603035382562171
1.3,0.09289252278883507,0.0531120534494366
1.32,0.09395476385782381,0.06921309225057423
1.34,0.0953390257028353,0.08404627617772666
1.36,0.09701995122638983,0.09734512865015571
1.3800000000000001,0.09896685379939295,0.10886809190814058
1.4000000000000001,0.10114421563755575,0.11840233511256368
1.42,0.10351226233980702,0.12576710914341077
1.44,0.10602760452267523,0.13081659519578073
1.46,0.10864393642659084,0.13344220225510517
1.48,0.11131278047169295,0.13357427722476836
1.5,0.11398426601618832,0.13118320074212522
1.52,0.11660793003103082,0.12627985140695897
1.54,0.11913352705916999,0.1189154311069131
1.56,0.12151183568130826,0.10918065420029435
1.58,0.12369544876531414,0.09720431334896876
1.6,0.12563953503229353,0.08315124462464879
1.62,0.1273025599247865,0.06721972398566049
1.6400000000000001,0.12864695440449972,0.049638336188877766
1.6600000000000001,0.12963972112827726,0.03066236552149443
1.68,0.13025296843870715,0.010569765278458685
1.7,0.13046436374427633,-0.010343230445205014
1.72,0.13025749913537224,-0.03176678343708951
1.74,0.12962216346663044,-0.053382342765628935
1.76,0.12855451661131787,-0.0748676737482144
1.78,0.12705716313635357,-0.09590194517404191
1.8,0.12513912423287274,-0.11617079454786192
1.82,0.1228157083419155,-0.1353712914674652
1.84,0.1201082825125662,-0.1532167208542746
1.86,0.1170439480954807,-0.16944111059748074
1.8800000000000001,0.11365512588353109,-0.1838034322029565
1.9000000000000001,0.10997905723947196,-0.19609140819514176
1.92,0.10605722907556912,-0.20612486622187784
1.94,0.10193473175113156,-0.21375858696098599
1.96,0.09765956001191184,-0.21888460091048245
1.98,0.0932818679937022,-0.22143389783580816
2.0,0.08885319003698602,-0.22137752191025212
2.02,0.08442563959878098,-0.2187270352727868
2.04,0.08005109889332525,-0.21353434268802063
2.06,0.07578041203956484,-0.20589088006882963
2.08,0.07166259443818825,-0.1959261796545508
2.1,0.06774407084509723,-0.18380583446818924
2.12,0.06406795415573345,-0.16972889414987793
2.14,0.06067337627273589,-0.15392473323142125
2.16,0.05759488160810747,-0.13664944123673176
2.18,0.054861892783372834,-0.11818179153411895
2.2,0.052498256952690454,-0.09881885250978364
2.22,0.05052187990249478,-0.07887131027273869
2.24,0.04894445369704001,-0.05865857665076004
2.2600000000000002,0.047771282164024806,-0.03850375962312021
2.2800000000000002,0.047001206971562404,-0.018728575505372866
2.3000000000000003,0.04662663546145494,0.00035171687987711753
2.32,0.046633669799052486,0.01843328015895354
2.34,0.04700233540223156,0.03522848220911383
2.36,0.04770690504641384,0.050470424366927245
2.38,0.04871631353375239,0.06391714263417622
2.4,0.04999465638643591,0.07535541562939145
2.42,0.05150176469902374,0.08460411923492438
2.44,0.053193847083722226,0.09151707503827974
2.46,0.05502418858448782,0.09598534764953327
2.48,0.05694389553747849,0.09793895466814996
2.5,0.058902674630841485,0.09734796233532347
2.52,0.06084963387754796,0.09422294959600018
2.54,0.06273409286946796,0.08861483325524316
2.56,0.06450638953457283,0.08061405698945184
2.58,0.06611867067436186,0.07034915700527777
2.6,0.06752565381446742,0.05798472696965067
2.62,0.06868534835386043,0.04371881430811886
2.64,0.06955972464002282,0.02777978893630552
2.66,0.07011532041874893,0.01042273380926315
2.68,0.07032377509493419,-0.008074585785337401
2.7,0.07016228337922745,-0.02741611062084973
2.72,0.06961396116681046,-0.047292164401920356
2.74,0.06866811787877206,-0.06738434535179194
2.7600000000000002,0.06732043097173622,-0.08737055537089697
2.7800000000000002,0.06557301986431828,-0.10693008745147918
2.8000000000000003,0.0634344181152887,-0.12574869111430972
2.82,0.06091944429300251,-0.14352353598023238
2.84,0.05804897357339786,-0.15996799519580818
2.86,0.0548496136694817,-0.1748161732734003
2.88,0.05135329020401369,-0.18782710693683774
2.9,0.04759674806527694,-0.19878857272075504
2.92,0.04362097661086184,-0.20752044127349495
2.94,0.03947056778539194,-0.21387752546227662
2.96,0.035193017276146404,-0.2177518773624325
2.98,0.030837979728897756,-0.21907449790400388
3.0,0.02645648977081768,-0.21781643221178784
3.02,0.022100161126581922,-0.21398923336296846
3.04,0.01782037645932255,-0.20764478724695468
3.06,0.013667480714383458,-0.198874501287905
3.08,0.009689990688625357,-0.18780786982274097
3.1,0.005933833292170537,-0.17461043875802434
3.12,0.00244162451701005,-0.1594812016028578
3.14,-0.0007479995150471062,-0.1426494679425671
3.16,-0.0036009888738984482,-0.12437125373789902
3.18,-0.006088413948656429,-0.10492525037562277
3.2,-0.008186918956168885,-0.0846084360398168
3.22,-0.009879087676965222,-0.06373139861399402
3.24,-0.011153715649245102,-0.04261344387360105
3.2600000000000002,-0.012005984526717122,-0.0215775661145787
3.2800000000000002,-0.012437535849008696,-0.0009453605331873512
3.3000000000000003,-0.012456443059672443,0.018968042409030345
3.3200000000000003,-0.012077082211491837,0.03785894074794627
3.34,-0.011319903396532912,0.05543984462653755
3.36,-0.01021110650400216,0.07144400431197778
3.38,-0.008782226417762605,0.0856296112113341
3.4,-0.0070696341935359225,0.09778360563403644
3.42,-0.005113962080855194,0.10772503125107591
3.44,-0.0029594614558336755,0.11530788334970583
3.46,-0.0006533037888395588,0.12042340596552199
3.48,0.0017551643304708812,0.12300180166528543
3.5,0.004215200363776589,0.12301332701665639
3.52,0.006675466904109717,0.12046875646904774
3.54,0.009084842033490671,0.11541920733029853
3.56,0.011393226180096642,0.1079553285997257
3.58,0.013552332752091157,0.09820586645043569
3.6,0.015516450081099871,0.08633562898435085
3.62,0.017243162660786886,0.07254288235719239
3.64,0.018694020307930735,0.05705621933825905
3.66,0.019835144694695918,0.04013094968981945
3.68,0.020637763688492308,0.022045069292088833
3.7,0.021078665074334084,0.0030948715831568205
3.72,0.02114056250599722,-0.016409729475896064
3.74,0.0208123679164793,-0.03615009115107187
3.7600000000000002,0.020089366093457864,-0.05580387125494546
3.7800000000000002,0.018973288668358956,-0.07505011572028114
3.8000000000000003,0.017472286353953332,-0.09357432419381648
3.8200000000000003,0.015600799870077002,-0.11107341376292229
3.84,0.013379331594818557,-0.12726050253438576
3.86,0.010834121544130841,-0.14186943762563473
3.88,0.007996732791618147,-0.15465899615952047
