t,x,v
0.0,0.0,0.05
0.02,0.001,0.0499
0.04,0.0019979999999999998,0.052286864671286085
0.06,0.0030437372934257216,0.05711612868524061
0.08,0.004186059867130534,0.06430351273569518
0.1,0.005472130121844438,0.07372625799491549
0.12,0.0069466552817427476,0.08522506792233824
0.14,0.008651156640189513,0.09860662679943247
0.16,0.010623289176178162,0.1136466552685456
0.18,0.012896222281549075,0.13009345468452524
0.2,0.01549809137523958,0.1476718843788456
0.22,0.01845152906281649,0.1660877091084862
0.24,0.021773283244986213,0.18503224812358665
0.26,0.025473928207457947,0.2041872525310052
0.28,0.02955767325807805,0.22322993403035946
0.3,0.03402227193868524,0.24183806571171096
0.32,0.03885903325291946,0.2596950744674169
0.34,0.0440529347422678,0.27649504470274405
0.36,0.04958283563632268,0.2919475544285335
0.38,0.055421786724893354,0.30578226746246573
0.4,0.06153743207414267,0.3177532093116167
0.42,0.067892496260375,0.3276426592973601
0.44,0.0744453494463222,0.3352645975355922
0.46,0.08115064139703404,0.3404676524052881
0.48,0.0879599944451398,0.34313750201583393
0.5,0.09482274448545648,0.34319869179418555
0.52,0.10168671832134019,0.34061583952088803
0.54,0.10849903511175794,0.33539420880413334
0.56,0.1152069192878406,0.3275796419409928
0.58,0.12175851212666046,0.3172578532176605
0.6,0.12810366919101368,0.3045530937866576
0.62,0.13419473106674684,0.28962620916941456
0.64,0.13998725525013514,0.27267212001116703
0.66,0.14544069765035847,0.2539167658106262
0.68,0.150519032966571,0.2336135598159575
0.7000000000000001,0.15519130416289015,0.21203941098767376
0.72,0.15943209238264364,0.18949037575653754
0.74,0.1632218998977744,0.16627700814279783
0.76,0.16654744006063035,0.1427194815599913
0.78,0.16940182969183018,0.1191425592270933
0.8,0.17178468087637205,0.09587049250022874
0.8200000000000001,0.17370209072637663,0.07322192757179777
0.84,0.1751665292778126,0.05150490085280625
0.86,0.1761966272948687,0.031012001955504073
0.88,0.17681686733397878,0.012015780550179898
0.9,0.17705718294498238,-0.005235530476173818
0.92,0.1769524723354589,-0.020521908119970587
0.9400000000000001,0.1765420341730595,-0.033654987232474134
0.96,0.17586893442841,-0.04448100899516393
0.98,0.17497931424850674,-0.052883223409038914
1.0,0.17392164978032595,-0.05878370791847706
1.02,0.17274597562195643,-0.06214457349824663
1.04,0.1715030841519915,-0.06296853919240318
1.06,0.17024371336814345,-0.06129886605376111
1.08,0.16901773604706824,-0.05721865153532289
1.1,0.16787336301636177,-0.0508494954711593
