t,x,v
0.0,0.0,0.1
0.02,0.002,0.09996000000000001
0.04,0.0039992,0.10744155640178707
0.06,0.006148031128035742,0.12183010663876859
0.08,0.008584633260811114,0.14195600603644895
0.1,0.011423753381540093,0.16620770000506774
0.12,0.014747907381641449,0.19268750026234074
0.14,0.018601657386888265,0.2193947261547793
0.16,0.022989551909983853,0.24441829656562775
0.18,0.02787791784129641,0.2661199358538772
0.2,0.03320031655837395,0.2832900790035802
0.22,0.03886611813844556,0.2952612364357851
0.24,0.04477134286716126,0.3019677458586899
0.26,0.05081069778433506,0.3039460892043172
0.28,0.0568896195684214,0.3022757731369816
0.3,0.06293513503116104,0.2984665920630239
0.32,0.06890446687242151,0.2943033432656543
0.34,0.07479053373773459,0.29166323074802186
0.36,0.08062379835269502,0.2923238696908713
0.38,0.08647027574651245,0.2977807252299865
0.4,0.09242589025111218,0.309091897292714
0.42,0.09860772819696646,0.32676548774334846
0.44,0.10514303795183343,0.35070061896320703
0.46,0.11215705033109757,0.3801879221345549
0.48,0.11976080877378867,0.4139694928941942
0.5,0.12804019863167254,0.4503524914303273
0.52,0.13704724846027908,0.48736531327302446
0.54,0.14679455472573957,0.5229410899601443
0.56,0.15725337652494245,0.5551106033483211
0.58,0.16835558859190888,0.5821857754714646
0.6,0.1799993041013382,0.602915817767759
0.62,0.19205762045669336,0.6166007989595025
0.64,0.20438963643588343,0.6231515579892493
0.66,0.2168526675956684,0.623090139288904
0.68,0.22931447038144648,0.6174907482995505
0.7000000000000001,0.2416642853474375,0.6078670458108845
0.72,0.2538216262636552,0.5960168505920844
0.74,0.2657419632754969,0.5838394869545636
0.76,0.2774187530145881,0.5731436894193415
0.78,0.28888162680297497,0.5654648986683983
0.8,0.30019092477634296,0.5619098611989917
0.8200000000000001,0.3114291220003228,0.5630437698126788
0.84,0.3226899973965764,0.5688310151449018
0.86,0.33406661769947443,0.5786353677772362
0.88,0.34563932505501915,0.5912795900578894
0.9,0.35746491685617693,0.6051586563436933
0.92,0.3695680899830508,0.6183955097255948
0.9400000000000001,0.3819360001775627,0.6290241163945479
0.96,0.3945164825054536,0.6351819035464326
0.98,0.4072201205763823,0.6352927450012489
1.0,0.41992597547640725,0.6282225807633115
1.02,0.4324904270916735,0.6133924323339791
1.04,0.4447582757383531,0.5908377428169571
1.06,0.45657503059469223,0.5612082218261951
1.08,0.46779919503121614,0.525708195931282
1.1,0.4783133589498418,0.48598328609661834
1.12,0.4880330246717742,0.4439644845301233
1.1400000000000001,0.49691231436237665,0.40168487056828767
1.16,0.5049460117737424,0.3610868807848773
1.18,0.51216774938944,0.32383897053101
1.2,0.5186445288000602,0.2911795823532874
1.22,0.5244681204471259,0.26380366143430456
1.24,0.5297441936758119,0.2418027912444761
1.26,0.5345802495007015,0.2246647718866116
1.28,0.5390735449384337,0.21133264314037803
1.3,0.5433001978012413,0.20031733372990876
1.32,0.5473065444758395,0.18985286760161701
1.34,0.5511036018278719,0.1780788909962044
1.36,0.5546651796477959,0.1632326087300668
1.3800000000000001,0.5579298318223973,0.14383129625539204
1.4000000000000001,0.5608064577475051,0.11882747598576136
1.42,0.5631830072672204,0.08772152181412735
1.44,0.5649374377035029,0.0506206228236917
1.46,0.5659498501599768,0.00823828799797724
1.48,0.5661146159199363,-0.0381656057115165
1.5,0.565351303805706,-0.08689839906085109
1.52,0.5636133358244889,-0.13599079626110822
1.54,0.5608935198992667,-0.18338033010886967
1.56,0.5572259132970894,-0.22710423044881944
1.58,0.5526838286881129,-0.2654828580997716
1.6,0.5473741715261176,-0.2972757883422441
1.62,0.5414286557592727,-0.32179530357600333
1.6400000000000001,0.5349927496877526,-0.3389662219205219
1.6600000000000001,0.5282134252493421,-0.3493262394481046
1.68,0.52122690046038,-0.3539667844222274
1.7,0.5141475647719355,-0.35442020260419277
1.72,0.5070591607198516,-0.3525043436312854
1.74,0.5000090738472258,-0.3501397856727866
1.76,0.49300627813377007,-0.3491576111343705
1.78,0.48602312591108265,-0.3511165682170308
1.8,0.47900079454674205,-0.3571475314023123
1.82,0.4718578439186958,-0.36784049867127244
1.84,0.4645010339452703,-0.3831851963583656
1.86,0.456837330018103,-0.40257111189401845
1.8800000000000001,0.44878590778022265,-0.42484695428607683
1.9000000000000001,0.4402889686945011,-0.44843372178742885
1.92,0.43132029425875257,-0.4714803055518193
1.94,0.4218906881477162,-0.49204639117718635
1.96,0.41204976032417245,-0.5082947447764418
1.98,0.4018838654286436,-0.5186740484875575
2.0,0.39151038445889247,-0.5220743723780996
2.02,0.38106889701133045,-0.5179400452724767
2.04,0.3707100961058809,-0.5063288542435637
2.06,0.36058351902100966,-0.48791175346187826
2.08,0.3508252839517721,-0.46391308379864
2.1,0.3415470222757993,-0.43599712527552054
2.12,0.3328270797702889,-0.40611205538543504
2.14,0.3247048386625802,-0.3763065534889269
2.16,0.31717870759280165,-0.3485369670175793
2.18,0.31020796825245006,-0.32448387720008964
2.2,0.30371829070844825,-0.3053959802269538
2.22,0.29761037110390914,-0.2919765244264594
2.24,0.29177084061537994,-0.2843233770263594
2.2600000000000002,0.28608437307485274,-0.28192854332330575
2.2800000000000002,0.2804458022083866,-0.2837371405614099
2.3000000000000003,0.2747710593971584,-0.2882600082895902
2.32,0.2690058592313666,-0.2937288861821559
2.34,0.26313128150772347,-0.29827892325405614
2.36,0.25716570304264236,-0.30014060698276546
2.38,0.25116289090298705,-0.2978222789517419
2.4,0.2452064453239522,-0.29026532549655576
2.42,0.23940113881402109,-0.27695680722351584
2.44,0.23386200266955076,-0.2579884582932095
